1055k  223.12.113.32:8082
1041k  223.10.39.207:8082
1031k  223.12.113.32:8083
1013k  223.12.113.32:8084
855k  223.11.153.2:7777
782k  223.10.115.195:8082
772k  223.10.115.195:8083
210k  223.10.13.103:8085
198k  223.10.9.208:8082
197k  223.10.9.208:8085
197k  223.10.9.208:8084
197k  223.10.13.103:8084
197k  223.10.13.103:8083
196k  223.10.9.208:8083
196k  223.10.13.103:8082
189k  110.178.52.75:8082
179k  110.178.52.208:8082
151k  110.178.52.91:8083
131k  110.178.52.75:8085
111k  110.178.52.208:8085
99k  110.178.52.91:8085
